=== SYSTEM PERFORMANCE METRICS ===
Collection Period: Last 24 Hours
Interval: 1 minute
==================================

[2026-04-05 10:19:11] CPU: 146189806000% | Memory: 23038454071296 MB | Disk Read: 1113759713000 MB/s | Disk Write: 635494804000 MB/s | Network In: 619422105000 Mbps | Network Out: 186177528900 Mbps | Active Connections: 399
[2026-04-04 15:17:11] CPU: 171745132100% | Memory: 10151003652096 MB | Disk Read: 1244064894000 MB/s | Disk Write: 354625796000 MB/s | Network In: 879643784500 Mbps | Network Out: 517150135200 Mbps | Active Connections: 444
[2026-04-04 15:16:11] CPU: 14325393200% | Memory: 2889311141888 MB | Disk Read: 77198007000 MB/s | Disk Write: 107678696000 MB/s | Network In: 46238458500 Mbps | Network Out: 498568104600 Mbps | Active Connections: 225
[2026-04-04 15:15:11] CPU: 188277535900% | Memory: 5321927147520 MB | Disk Read: 100493360000 MB/s | Disk Write: 1149530469600 MB/s | Network In: 1045145257000 Mbps | Network Out: 111233462700 Mbps | Active Connections: 357
[2026-04-04 15:14:11] CPU: 54349390700% | Memory: 4619615764480 MB | Disk Read: 2075647500000 MB/s | Disk Write: 1126537808800 MB/s | Network In: 751765278000 Mbps | Network Out: 565012573200 Mbps | Active Connections: 142
[2026-04-04 15:13:11] CPU: 140421694000% | Memory: 6308435361792 MB | Disk Read: 202640852000 MB/s | Disk Write: 1522518006400 MB/s | Network In: 500038497500 Mbps | Network Out: 18773277600 Mbps | Active Connections: 469
[2026-04-04 15:12:11] CPU: 3226696800% | Memory: 4015383085056 MB | Disk Read: 738581493000 MB/s | Disk Write: 332973099200 MB/s | Network In: 796510614000 Mbps | Network Out: 156610335000 Mbps | Active Connections: 101
[2026-04-04 15:11:11] CPU: 139587922800% | Memory: 7596080889856 MB | Disk Read: 447146306000 MB/s | Disk Write: 1018622454400 MB/s | Network In: 178486291500 Mbps | Network Out: 633245355300 Mbps | Active Connections: 359
[2026-04-04 15:10:11] CPU: 24678955600% | Memory: 1674382950400 MB | Disk Read: 679946874000 MB/s | Disk Write: 742150102400 MB/s | Network In: 128693695000 Mbps | Network Out: 370845476700 Mbps | Active Connections: 85
[2026-04-04 15:09:11] CPU: 59747956400% | Memory: 21790355013632 MB | Disk Read: 837136406000 MB/s | Disk Write: 1377610817600 MB/s | Network In: 874733164000 Mbps | Network Out: 598373563800 Mbps | Active Connections: 52
[2026-04-04 15:08:11] CPU: 96921769500% | Memory: 22953216409600 MB | Disk Read: 681992287000 MB/s | Disk Write: 505111944800 MB/s | Network In: 268483914500 Mbps | Network Out: 484432753800 Mbps | Active Connections: 379
[2026-04-04 15:07:11] CPU: 36709069000% | Memory: 30304551419904 MB | Disk Read: 831484208000 MB/s | Disk Write: 766449407200 MB/s | Network In: 267531165500 Mbps | Network Out: 430803547800 Mbps | Active Connections: 157
[2026-04-04 15:06:11] CPU: 159976290900% | Memory: 24555266277376 MB | Disk Read: 162115063000 MB/s | Disk Write: 897043016000 MB/s | Network In: 931940564500 Mbps | Network Out: 179753306400 Mbps | Active Connections: 151
[2026-04-04 15:05:11] CPU: 72939652600% | Memory: 16553265348608 MB | Disk Read: 569412679000 MB/s | Disk Write: 1333847136000 MB/s | Network In: 851427856000 Mbps | Network Out: 35812412400 Mbps | Active Connections: 409
[2026-04-04 15:04:11] CPU: 30843134300% | Memory: 7211290394624 MB | Disk Read: 1776174872000 MB/s | Disk Write: 1267781832000 MB/s | Network In: 931594797500 Mbps | Network Out: 488238591900 Mbps | Active Connections: 194
[2026-04-04 15:03:11] CPU: 109252995900% | Memory: 22726499188736 MB | Disk Read: 2071913664000 MB/s | Disk Write: 1533116712000 MB/s | Network In: 293864515000 Mbps | Network Out: 621363344100 Mbps | Active Connections: 390
[2026-04-04 15:02:11] CPU: 89760159000% | Memory: 25819048820736 MB | Disk Read: 437136525000 MB/s | Disk Write: 1356767332000 MB/s | Network In: 447285970000 Mbps | Network Out: 88107300900 Mbps | Active Connections: 175
[2026-04-04 15:01:11] CPU: 3678885900% | Memory: 2454376497152 MB | Disk Read: 1314328517000 MB/s | Disk Write: 1250238304000 MB/s | Network In: 559924592500 Mbps | Network Out: 186585536700 Mbps | Active Connections: 367
[2026-04-04 15:00:11] CPU: 114735560700% | Memory: 6066147917824 MB | Disk Read: 1260948486000 MB/s | Disk Write: 1505073145600 MB/s | Network In: 794200376500 Mbps | Network Out: 538079844300 Mbps | Active Connections: 312
[2026-04-04 14:59:11] CPU: 190052052500% | Memory: 29655464525824 MB | Disk Read: 713826947000 MB/s | Disk Write: 1485073947200 MB/s | Network In: 874686121000 Mbps | Network Out: 206040205800 Mbps | Active Connections: 324
[2026-04-04 14:58:11] CPU: 130846359300% | Memory: 21841305714688 MB | Disk Read: 25702037000 MB/s | Disk Write: 752635783200 MB/s | Network In: 127290110000 Mbps | Network Out: 213674802900 Mbps | Active Connections: 464
[2026-04-04 14:57:11] CPU: 27054597900% | Memory: 16480943079424 MB | Disk Read: 1389425372000 MB/s | Disk Write: 682198800000 MB/s | Network In: 257082686000 Mbps | Network Out: 145596696600 Mbps | Active Connections: 363
[2026-04-04 14:56:11] CPU: 81705201600% | Memory: 21529550110720 MB | Disk Read: 1529361240000 MB/s | Disk Write: 321358304800 MB/s | Network In: 439766377000 Mbps | Network Out: 304665527700 Mbps | Active Connections: 54
[2026-04-04 14:55:11] CPU: 8149471500% | Memory: 12621176324096 MB | Disk Read: 2037574230000 MB/s | Disk Write: 27214446400 MB/s | Network In: 410679733000 Mbps | Network Out: 413222178000 Mbps | Active Connections: 270
[2026-04-04 14:54:11] CPU: 88662276400% | Memory: 20279662247936 MB | Disk Read: 693401694000 MB/s | Disk Write: 1506006221600 MB/s | Network In: 178037295000 Mbps | Network Out: 641817384300 Mbps | Active Connections: 237
[2026-04-04 14:53:11] CPU: 142720203300% | Memory: 10705967038464 MB | Disk Read: 861969997000 MB/s | Disk Write: 1305984008000 MB/s | Network In: 653838430000 Mbps | Network Out: 194865425100 Mbps | Active Connections: 344
[2026-04-04 14:52:11] CPU: 36692299200% | Memory: 22199611064320 MB | Disk Read: 2116214606000 MB/s | Disk Write: 1052511852800 MB/s | Network In: 529435574500 Mbps | Network Out: 371894640600 Mbps | Active Connections: 262
[2026-04-04 14:51:11] CPU: 115176454300% | Memory: 11054231109632 MB | Disk Read: 1997214787000 MB/s | Disk Write: 1012168532800 MB/s | Network In: 1011955493500 Mbps | Network Out: 606705633900 Mbps | Active Connections: 485
[2026-04-04 14:50:11] CPU: 170485809700% | Memory: 17566996676608 MB | Disk Read: 295210326000 MB/s | Disk Write: 663414083200 MB/s | Network In: 630107718500 Mbps | Network Out: 481010539500 Mbps | Active Connections: 260
[2026-04-04 14:49:11] CPU: 25859959800% | Memory: 4544617758720 MB | Disk Read: 994694846000 MB/s | Disk Write: 697092388800 MB/s | Network In: 935653234000 Mbps | Network Out: 5681731200 Mbps | Active Connections: 407
[2026-04-04 14:48:11] CPU: 58198033800% | Memory: 35046387597312 MB | Disk Read: 675916478000 MB/s | Disk Write: 195551071200 MB/s | Network In: 694764715500 Mbps | Network Out: 248721590700 Mbps | Active Connections: 473
[2026-04-04 14:47:11] CPU: 172753477300% | Memory: 9599684509696 MB | Disk Read: 684490870000 MB/s | Disk Write: 1682965890400 MB/s | Network In: 781199693500 Mbps | Network Out: 392550538500 Mbps | Active Connections: 303
[2026-04-04 14:46:11] CPU: 126304958200% | Memory: 28899394027520 MB | Disk Read: 1377811810000 MB/s | Disk Write: 1101252963200 MB/s | Network In: 224731018500 Mbps | Network Out: 577858203000 Mbps | Active Connections: 300
[2026-04-04 14:45:11] CPU: 123224919900% | Memory: 11753515319296 MB | Disk Read: 1596534825000 MB/s | Disk Write: 345098573600 MB/s | Network In: 745593605500 Mbps | Network Out: 110456093100 Mbps | Active Connections: 64
[2026-04-04 14:44:11] CPU: 145052993200% | Memory: 3801295994880 MB | Disk Read: 1098807668000 MB/s | Disk Write: 460640728800 MB/s | Network In: 910115971000 Mbps | Network Out: 314352509400 Mbps | Active Connections: 328
[2026-04-04 14:43:11] CPU: 139952694500% | Memory: 31694729232384 MB | Disk Read: 594441734000 MB/s | Disk Write: 1564078096000 MB/s | Network In: 190382249500 Mbps | Network Out: 22038894300 Mbps | Active Connections: 471
[2026-04-04 14:42:11] CPU: 6568093000% | Memory: 14939239464960 MB | Disk Read: 185081923000 MB/s | Disk Write: 565483505600 MB/s | Network In: 482258585500 Mbps | Network Out: 548981910000 Mbps | Active Connections: 466
[2026-04-04 14:41:11] CPU: 55299040500% | Memory: 13465902678016 MB | Disk Read: 601574459000 MB/s | Disk Write: 1248440841600 MB/s | Network In: 967393207500 Mbps | Network Out: 222844379400 Mbps | Active Connections: 215
[2026-04-04 14:40:11] CPU: 73469681000% | Memory: 31863382622208 MB | Disk Read: 854148707000 MB/s | Disk Write: 1291266401600 MB/s | Network In: 267464251500 Mbps | Network Out: 23845243800 Mbps | Active Connections: 319
[2026-04-04 14:39:11] CPU: 76334198500% | Memory: 21407038603264 MB | Disk Read: 2021198209000 MB/s | Disk Write: 1230437613600 MB/s | Network In: 399248702000 Mbps | Network Out: 562583323800 Mbps | Active Connections: 259
[2026-04-04 14:38:11] CPU: 38534106200% | Memory: 15326075879424 MB | Disk Read: 1176168331000 MB/s | Disk Write: 624865151200 MB/s | Network In: 478874231000 Mbps | Network Out: 163483567800 Mbps | Active Connections: 158
[2026-04-04 14:37:11] CPU: 153358230000% | Memory: 18933870067712 MB | Disk Read: 1843635851000 MB/s | Disk Write: 900013489600 MB/s | Network In: 857186383500 Mbps | Network Out: 15874062300 Mbps | Active Connections: 333
[2026-04-04 14:36:11] CPU: 121642079300% | Memory: 19612948611072 MB | Disk Read: 1800686219000 MB/s | Disk Write: 1422446760000 MB/s | Network In: 433112198000 Mbps | Network Out: 469570249200 Mbps | Active Connections: 64
[2026-04-04 14:35:11] CPU: 79942292500% | Memory: 31854018510848 MB | Disk Read: 1327045871000 MB/s | Disk Write: 356957556000 MB/s | Network In: 865893860500 Mbps | Network Out: 504755169900 Mbps | Active Connections: 62
[2026-04-04 14:34:11] CPU: 157049620300% | Memory: 31688463548416 MB | Disk Read: 1814965101000 MB/s | Disk Write: 267918705600 MB/s | Network In: 482663916000 Mbps | Network Out: 70070094300 Mbps | Active Connections: 88
[2026-04-04 14:33:11] CPU: 15149024700% | Memory: 12447974293504 MB | Disk Read: 193052755000 MB/s | Disk Write: 1683660716800 MB/s | Network In: 815068852500 Mbps | Network Out: 236818545300 Mbps | Active Connections: 312
[2026-04-04 14:32:11] CPU: 187292625500% | Memory: 24067106947072 MB | Disk Read: 159798801000 MB/s | Disk Write: 1102694884800 MB/s | Network In: 862216454000 Mbps | Network Out: 397572137100 Mbps | Active Connections: 189
[2026-04-04 14:31:11] CPU: 8927475200% | Memory: 24501974417408 MB | Disk Read: 760702827000 MB/s | Disk Write: 1007464837600 MB/s | Network In: 1033928997000 Mbps | Network Out: 235375590300 Mbps | Active Connections: 492
[2026-04-04 14:30:11] CPU: 102571271500% | Memory: 5531134525440 MB | Disk Read: 1633842008000 MB/s | Disk Write: 1471590971200 MB/s | Network In: 1004781292000 Mbps | Network Out: 389057842500 Mbps | Active Connections: 397
[2026-04-04 14:29:11] CPU: 166732731800% | Memory: 4880349429760 MB | Disk Read: 966907073000 MB/s | Disk Write: 678847056800 MB/s | Network In: 800056957000 Mbps | Network Out: 333096657600 Mbps | Active Connections: 265
[2026-04-04 14:28:11] CPU: 49323977800% | Memory: 27114099130368 MB | Disk Read: 1165336189000 MB/s | Disk Write: 1661229813600 MB/s | Network In: 419209942000 Mbps | Network Out: 204633113400 Mbps | Active Connections: 123
[2026-04-04 14:27:11] CPU: 60927651600% | Memory: 8266512105472 MB | Disk Read: 1679291836000 MB/s | Disk Write: 1003946347200 MB/s | Network In: 126794866500 Mbps | Network Out: 448139840100 Mbps | Active Connections: 253
[2026-04-04 14:26:11] CPU: 91825614800% | Memory: 10473042444288 MB | Disk Read: 1879281552000 MB/s | Disk Write: 1195150658400 MB/s | Network In: 760189460000 Mbps | Network Out: 356257897800 Mbps | Active Connections: 149
[2026-04-04 14:25:11] CPU: 189935803800% | Memory: 26158193098752 MB | Disk Read: 571983718000 MB/s | Disk Write: 539898536800 MB/s | Network In: 359316132000 Mbps | Network Out: 315554895600 Mbps | Active Connections: 186
[2026-04-04 14:24:11] CPU: 190471084200% | Memory: 14266281394176 MB | Disk Read: 1259870713000 MB/s | Disk Write: 850020052800 MB/s | Network In: 112511788000 Mbps | Network Out: 553188339900 Mbps | Active Connections: 345
[2026-04-04 14:23:11] CPU: 32774899200% | Memory: 20501488205824 MB | Disk Read: 114054748000 MB/s | Disk Write: 299031259200 MB/s | Network In: 160234637500 Mbps | Network Out: 583351776000 Mbps | Active Connections: 404
[2026-04-04 14:22:11] CPU: 49851014700% | Memory: 6097137778688 MB | Disk Read: 1537722864000 MB/s | Disk Write: 1654101821600 MB/s | Network In: 328758041500 Mbps | Network Out: 451969834200 Mbps | Active Connections: 284
[2026-04-04 14:21:11] CPU: 76977239900% | Memory: 5096675524608 MB | Disk Read: 1857744045000 MB/s | Disk Write: 636099304800 MB/s | Network In: 871448474000 Mbps | Network Out: 435482664900 Mbps | Active Connections: 235
[2026-04-04 14:20:11] CPU: 74439955400% | Memory: 32523580342272 MB | Disk Read: 130607830000 MB/s | Disk Write: 81911681600 MB/s | Network In: 1020547048000 Mbps | Network Out: 110736994800 Mbps | Active Connections: 52
[2026-04-04 14:19:11] CPU: 4845635400% | Memory: 17647449358336 MB | Disk Read: 788072221000 MB/s | Disk Write: 1477903296800 MB/s | Network In: 277484850500 Mbps | Network Out: 403263992400 Mbps | Active Connections: 356
[2026-04-04 14:18:11] CPU: 9322239100% | Memory: 16799539724288 MB | Disk Read: 1027456608000 MB/s | Disk Write: 1261121256800 MB/s | Network In: 898700438000 Mbps | Network Out: 429612327300 Mbps | Active Connections: 76
[2026-04-04 14:17:11] CPU: 88041368900% | Memory: 24806016974848 MB | Disk Read: 1860157907000 MB/s | Disk Write: 417441764800 MB/s | Network In: 880089224000 Mbps | Network Out: 85975298100 Mbps | Active Connections: 368
[2026-04-04 14:16:11] CPU: 30664967200% | Memory: 11426180317184 MB | Disk Read: 1277442673000 MB/s | Disk Write: 1450328127200 MB/s | Network In: 480943701500 Mbps | Network Out: 238989423000 Mbps | Active Connections: 227
[2026-04-04 14:15:11] CPU: 9064813700% | Memory: 31985727782912 MB | Disk Read: 509686124000 MB/s | Disk Write: 87183029600 MB/s | Network In: 971135845000 Mbps | Network Out: 333008142300 Mbps | Active Connections: 444
[2026-04-04 14:14:11] CPU: 200582260900% | Memory: 13115588001792 MB | Disk Read: 288529307000 MB/s | Disk Write: 452213866400 MB/s | Network In: 473014605000 Mbps | Network Out: 569778047700 Mbps | Active Connections: 272
[2026-04-04 14:13:11] CPU: 38026796000% | Memory: 12743484407808 MB | Disk Read: 2125291047000 MB/s | Disk Write: 90011869600 MB/s | Network In: 381845401500 Mbps | Network Out: 149606687400 Mbps | Active Connections: 405
[2026-04-04 14:12:11] CPU: 149547822500% | Memory: 6303073042432 MB | Disk Read: 1027631490000 MB/s | Disk Write: 54201036000 MB/s | Network In: 885442848500 Mbps | Network Out: 459098615100 Mbps | Active Connections: 191
[2026-04-04 14:11:11] CPU: 167939438300% | Memory: 31873485275136 MB | Disk Read: 1994108321000 MB/s | Disk Write: 514028775200 MB/s | Network In: 9166213500 Mbps | Network Out: 42059069700 Mbps | Active Connections: 331
[2026-04-04 14:10:11] CPU: 64885050700% | Memory: 29838752448512 MB | Disk Read: 458300766000 MB/s | Disk Write: 1625147604800 MB/s | Network In: 79818261000 Mbps | Network Out: 404981542500 Mbps | Active Connections: 436
[2026-04-04 14:09:11] CPU: 169240619000% | Memory: 18915294707712 MB | Disk Read: 574086392000 MB/s | Disk Write: 632462526400 MB/s | Network In: 644756683500 Mbps | Network Out: 496061230200 Mbps | Active Connections: 383
[2026-04-04 14:08:11] CPU: 161202000700% | Memory: 3251762413568 MB | Disk Read: 1489457256000 MB/s | Disk Write: 1377974364000 MB/s | Network In: 191700950000 Mbps | Network Out: 625792949700 Mbps | Active Connections: 459
[2026-04-04 14:07:11] CPU: 61785357700% | Memory: 21160046493696 MB | Disk Read: 1722119294000 MB/s | Disk Write: 1585827628800 MB/s | Network In: 389255107500 Mbps | Network Out: 454413824700 Mbps | Active Connections: 310
[2026-04-04 14:06:11] CPU: 151036928900% | Memory: 11812913659904 MB | Disk Read: 1308243609000 MB/s | Disk Write: 1302185577600 MB/s | Network In: 870906929000 Mbps | Network Out: 200503218900 Mbps | Active Connections: 104
[2026-04-04 14:05:11] CPU: 83262893400% | Memory: 2828453298176 MB | Disk Read: 810350136000 MB/s | Disk Write: 1058500328800 MB/s | Network In: 1013156468000 Mbps | Network Out: 229261944600 Mbps | Active Connections: 154
[2026-04-04 14:04:11] CPU: 18397144100% | Memory: 716682084352 MB | Disk Read: 155276136000 MB/s | Disk Write: 1695024542400 MB/s | Network In: 822900456000 Mbps | Network Out: 87885373800 Mbps | Active Connections: 467
[2026-04-04 14:03:11] CPU: 85497826500% | Memory: 3516552298496 MB | Disk Read: 434094907000 MB/s | Disk Write: 79105744800 MB/s | Network In: 879804808000 Mbps | Network Out: 572828426100 Mbps | Active Connections: 379
[2026-04-04 14:02:11] CPU: 36879748300% | Memory: 27111095681024 MB | Disk Read: 1119478826000 MB/s | Disk Write: 1438932600000 MB/s | Network In: 456516018500 Mbps | Network Out: 335614362600 Mbps | Active Connections: 380
[2026-04-04 14:01:11] CPU: 125547828200% | Memory: 10268214509568 MB | Disk Read: 1153264095000 MB/s | Disk Write: 686762907200 MB/s | Network In: 866656765000 Mbps | Network Out: 152792556000 Mbps | Active Connections: 347
[2026-04-04 14:00:11] CPU: 193875433100% | Memory: 22702768898048 MB | Disk Read: 1300257027000 MB/s | Disk Write: 63951366400 MB/s | Network In: 551478318000 Mbps | Network Out: 508220384400 Mbps | Active Connections: 283
[2026-04-04 13:59:11] CPU: 65249475400% | Memory: 12471460839424 MB | Disk Read: 1613469628000 MB/s | Disk Write: 992552806400 MB/s | Network In: 736385266000 Mbps | Network Out: 341506814100 Mbps | Active Connections: 483
[2026-04-04 13:58:11] CPU: 131360086900% | Memory: 9505593458688 MB | Disk Read: 35186317000 MB/s | Disk Write: 242244602400 MB/s | Network In: 418162504500 Mbps | Network Out: 130575683400 Mbps | Active Connections: 175
[2026-04-04 13:57:11] CPU: 151132472600% | Memory: 28048736403456 MB | Disk Read: 212096500000 MB/s | Disk Write: 821023545600 MB/s | Network In: 642787725000 Mbps | Network Out: 186303738300 Mbps | Active Connections: 324
[2026-04-04 13:56:11] CPU: 99992858600% | Memory: 12922305003520 MB | Disk Read: 1888042359000 MB/s | Disk Write: 286522506400 MB/s | Network In: 112865165000 Mbps | Network Out: 510693209100 Mbps | Active Connections: 364
[2026-04-04 13:55:11] CPU: 181518688600% | Memory: 28923968061440 MB | Disk Read: 2055163771000 MB/s | Disk Write: 1346761585600 MB/s | Network In: 993615424000 Mbps | Network Out: 476443355700 Mbps | Active Connections: 448
[2026-04-04 13:54:11] CPU: 2992592300% | Memory: 23540338720768 MB | Disk Read: 286585607000 MB/s | Disk Write: 624298032000 MB/s | Network In: 287467465500 Mbps | Network Out: 417439809600 Mbps | Active Connections: 106
[2026-04-04 13:53:11] CPU: 14597952800% | Memory: 27146716807168 MB | Disk Read: 217320124000 MB/s | Disk Write: 1003016868800 MB/s | Network In: 850172291500 Mbps | Network Out: 81953327700 Mbps | Active Connections: 147
[2026-04-04 13:52:11] CPU: 202292469600% | Memory: 27315220037632 MB | Disk Read: 1027511702000 MB/s | Disk Write: 1698805277600 MB/s | Network In: 1010141197000 Mbps | Network Out: 236636233500 Mbps | Active Connections: 246
[2026-04-04 13:51:11] CPU: 152565766700% | Memory: 14238958125056 MB | Disk Read: 1523924743000 MB/s | Disk Write: 1253137619200 MB/s | Network In: 798998637500 Mbps | Network Out: 174716508000 Mbps | Active Connections: 314
[2026-04-04 13:50:11] CPU: 172381731200% | Memory: 18958174814208 MB | Disk Read: 503648081000 MB/s | Disk Write: 1535566252800 MB/s | Network In: 143277340000 Mbps | Network Out: 223035916200 Mbps | Active Connections: 76
[2026-04-04 13:49:11] CPU: 106123971600% | Memory: 14878326177792 MB | Disk Read: 1008877320000 MB/s | Disk Write: 919382712800 MB/s | Network In: 829225572000 Mbps | Network Out: 147579192900 Mbps | Active Connections: 66
[2026-04-04 13:48:11] CPU: 214341594900% | Memory: 24816884727808 MB | Disk Read: 31435223000 MB/s | Disk Write: 1525669000000 MB/s | Network In: 991472401500 Mbps | Network Out: 132616209000 Mbps | Active Connections: 440
[2026-04-04 13:47:11] CPU: 44357103900% | Memory: 9766137233408 MB | Disk Read: 1816074480000 MB/s | Disk Write: 1120516080800 MB/s | Network In: 322446798500 Mbps | Network Out: 289671972900 Mbps | Active Connections: 147
[2026-04-04 13:46:11] CPU: 201671412700% | Memory: 19621860851712 MB | Disk Read: 1398972272000 MB/s | Disk Write: 787078410400 MB/s | Network In: 655059488000 Mbps | Network Out: 61960155300 Mbps | Active Connections: 193
[2026-04-04 13:45:11] CPU: 211292570700% | Memory: 21049900220416 MB | Disk Read: 1622390443000 MB/s | Disk Write: 1518291611200 MB/s | Network In: 600156482500 Mbps | Network Out: 286850414100 Mbps | Active Connections: 449
[2026-04-04 13:44:11] CPU: 143493765700% | Memory: 27815937949696 MB | Disk Read: 1953519273000 MB/s | Disk Write: 1628234584800 MB/s | Network In: 206396868000 Mbps | Network Out: 362737247100 Mbps | Active Connections: 232
[2026-04-04 13:43:11] CPU: 170711006100% | Memory: 13118904877056 MB | Disk Read: 1834112791000 MB/s | Disk Write: 896330561600 MB/s | Network In: 980610165500 Mbps | Network Out: 20004587100 Mbps | Active Connections: 447
[2026-04-04 13:42:11] CPU: 8053372200% | Memory: 15899463303168 MB | Disk Read: 718579094000 MB/s | Disk Write: 472136296000 MB/s | Network In: 58547687500 Mbps | Network Out: 227016675300 Mbps | Active Connections: 444
[2026-04-04 13:41:11] CPU: 17445614200% | Memory: 21655739744256 MB | Disk Read: 374277794000 MB/s | Disk Write: 753639512800 MB/s | Network In: 1032493874500 Mbps | Network Out: 426882156000 Mbps | Active Connections: 354
[2026-04-04 13:40:11] CPU: 185009098400% | Memory: 6778557415424 MB | Disk Read: 824762457000 MB/s | Disk Write: 344699669600 MB/s | Network In: 68873174000 Mbps | Network Out: 75530716200 Mbps | Active Connections: 103
[2026-04-04 13:39:11] CPU: 205012851800% | Memory: 31474732302336 MB | Disk Read: 617992394000 MB/s | Disk Write: 70429332000 MB/s | Network In: 836255264500 Mbps | Network Out: 603639827100 Mbps | Active Connections: 256
[2026-04-04 13:38:11] CPU: 160989560800% | Memory: 33603001057280 MB | Disk Read: 1567946258000 MB/s | Disk Write: 316964554400 MB/s | Network In: 654203364500 Mbps | Network Out: 216977489100 Mbps | Active Connections: 148
[2026-04-04 13:37:11] CPU: 1958362800% | Memory: 2241634631680 MB | Disk Read: 1603846444000 MB/s | Disk Write: 22270031200 MB/s | Network In: 362894384500 Mbps | Network Out: 414631515600 Mbps | Active Connections: 110
[2026-04-04 13:36:11] CPU: 98353686100% | Memory: 28923498283008 MB | Disk Read: 1303831077000 MB/s | Disk Write: 1434712636000 MB/s | Network In: 326623131500 Mbps | Network Out: 302187497700 Mbps | Active Connections: 81
[2026-04-04 13:35:11] CPU: 168865209700% | Memory: 32074625892352 MB | Disk Read: 1882379056000 MB/s | Disk Write: 780429332800 MB/s | Network In: 98007441500 Mbps | Network Out: 482055724500 Mbps | Active Connections: 293
[2026-04-04 13:34:11] CPU: 159131118800% | Memory: 28374589865984 MB | Disk Read: 207930302000 MB/s | Disk Write: 1325140417600 MB/s | Network In: 242518511000 Mbps | Network Out: 202709615100 Mbps | Active Connections: 286
[2026-04-04 13:33:11] CPU: 104545086600% | Memory: 21441763229696 MB | Disk Read: 2023330081000 MB/s | Disk Write: 1409524456000 MB/s | Network In: 244785559000 Mbps | Network Out: 212483642100 Mbps | Active Connections: 457
[2026-04-04 13:32:11] CPU: 8497439200% | Memory: 7320645910528 MB | Disk Read: 1490791347000 MB/s | Disk Write: 1700656373600 MB/s | Network In: 635373326000 Mbps | Network Out: 266924488200 Mbps | Active Connections: 318
[2026-04-04 13:31:11] CPU: 157059897700% | Memory: 20746645520384 MB | Disk Read: 254891702000 MB/s | Disk Write: 298711649600 MB/s | Network In: 464350938500 Mbps | Network Out: 124628348400 Mbps | Active Connections: 171
[2026-04-04 13:30:11] CPU: 69438320300% | Memory: 21269652717568 MB | Disk Read: 1019712936000 MB/s | Disk Write: 749488178400 MB/s | Network In: 818541011000 Mbps | Network Out: 259533963300 Mbps | Active Connections: 477
[2026-04-04 13:29:11] CPU: 175945015800% | Memory: 14824772435968 MB | Disk Read: 295662570000 MB/s | Disk Write: 952453833600 MB/s | Network In: 348221239500 Mbps | Network Out: 539368355700 Mbps | Active Connections: 267
[2026-04-04 13:28:11] CPU: 23642831800% | Memory: 12490542891008 MB | Disk Read: 725594560000 MB/s | Disk Write: 15487142400 MB/s | Network In: 629188253500 Mbps | Network Out: 222142128000 Mbps | Active Connections: 292
[2026-04-04 13:27:11] CPU: 95531139900% | Memory: 8290050932736 MB | Disk Read: 19095960000 MB/s | Disk Write: 552198496000 MB/s | Network In: 991208800000 Mbps | Network Out: 507669535500 Mbps | Active Connections: 155
[2026-04-04 13:26:11] CPU: 6424147000% | Memory: 30522393493504 MB | Disk Read: 1800102803000 MB/s | Disk Write: 203196696800 MB/s | Network In: 223939937500 Mbps | Network Out: 334901555100 Mbps | Active Connections: 79
[2026-04-04 13:25:11] CPU: 160052354500% | Memory: 27672501157888 MB | Disk Read: 1817450154000 MB/s | Disk Write: 239636678400 MB/s | Network In: 663644402000 Mbps | Network Out: 620504442000 Mbps | Active Connections: 82
[2026-04-04 13:24:11] CPU: 61337252800% | Memory: 24530694258688 MB | Disk Read: 323988956000 MB/s | Disk Write: 1709419724800 MB/s | Network In: 958881239500 Mbps | Network Out: 51933253200 Mbps | Active Connections: 318
[2026-04-04 13:23:11] CPU: 62216137000% | Memory: 33751943479296 MB | Disk Read: 977573492000 MB/s | Disk Write: 1696728112000 MB/s | Network In: 860502678000 Mbps | Network Out: 538298695800 Mbps | Active Connections: 476
[2026-04-04 13:22:11] CPU: 26501909700% | Memory: 12470549757952 MB | Disk Read: 1982337197000 MB/s | Disk Write: 1579651066400 MB/s | Network In: 426209313000 Mbps | Network Out: 616443157800 Mbps | Active Connections: 81
[2026-04-04 13:21:11] CPU: 32322219200% | Memory: 7282803228672 MB | Disk Read: 1081102373000 MB/s | Disk Write: 1635345460000 MB/s | Network In: 38759864000 Mbps | Network Out: 475534986000 Mbps | Active Connections: 74
[2026-04-04 13:20:11] CPU: 76696838600% | Memory: 35128452972544 MB | Disk Read: 1005011929000 MB/s | Disk Write: 841911979200 MB/s | Network In: 61979370000 Mbps | Network Out: 577784070900 Mbps | Active Connections: 293
[2026-04-04 13:19:11] CPU: 156880793000% | Memory: 25642901291008 MB | Disk Read: 954353511000 MB/s | Disk Write: 35093768800 MB/s | Network In: 130464079000 Mbps | Network Out: 464642734800 Mbps | Active Connections: 136
[2026-04-04 13:18:11] CPU: 180825646900% | Memory: 34387148357632 MB | Disk Read: 159957088000 MB/s | Disk Write: 1319485395200 MB/s | Network In: 530455202500 Mbps | Network Out: 250161848100 Mbps | Active Connections: 116
[2026-04-04 13:17:11] CPU: 86851555500% | Memory: 8190199955456 MB | Disk Read: 1014953250000 MB/s | Disk Write: 470481962400 MB/s | Network In: 482301886500 Mbps | Network Out: 615111237000 Mbps | Active Connections: 264
